grid_id,lat,lon,n_campus,n_school,n_market,n_place_of_worship,n_park,n_residential,dominant_zone
G0250,-7.983999999999998,112.64649999999988,0,3,0,8,0,0,worship_area
G0251,-7.983999999999998,112.65099999999987,0,1,0,8,0,1,worship_area
G0252,-7.983999999999998,112.65549999999986,0,2,0,7,0,1,worship_area
G0253,-7.983999999999998,112.65999999999985,0,1,0,4,0,1,worship_area
G0254,-7.983999999999998,112.66449999999985,0,0,0,1,0,1,residential_area
G0255,-7.983999999999998,112.66899999999984,0,0,0,1,0,1,residential_area
G0256,-7.983999999999998,112.67349999999983,0,0,0,0,0,3,residential_area
G0257,-7.983999999999998,112.67799999999983,0,0,0,0,0,2,residential_area
G0258,-7.983999999999998,112.68249999999982,0,1,0,0,0,1,residential_area
G0259,-7.983999999999998,112.68699999999981,0,3,0,1,0,0,school_area
G0260,-7.983999999999998,112.6914999999998,0,1,0,1,0,0,school_area
G0266,-7.979499999999998,112.58799999999997,0,0,0,1,0,0,worship_area
G0267,-7.979499999999998,112.59249999999996,0,0,0,1,0,1,residential_area
G0268,-7.979499999999998,112.59699999999995,1,0,0,4,0,3,residential_area
G0269,-7.979499999999998,112.60149999999994,1,3,0,10,0,6,residential_area
G0270,-7.979499999999998,112.60599999999994,0,4,0,10,0,10,residential_area
G0271,-7.979499999999998,112.61049999999993,1,9,1,14,1,4,school_area
G0272,-7.979499999999998,112.61499999999992,2,6,1,13,1,2,worship_area
G0273,-7.979499999999998,112.61949999999992,2,4,1,13,0,1,worship_area
G0274,-7.979499999999998,112.62399999999991,2,10,1,18,0,0,school_area
G0275,-7.979499999999998,112.6284999999999,2,17,2,18,1,0,school_area
G0276,-7.979499999999998,112.6329999999999,1,14,1,15,4,0,school_area
G0277,-7.979499999999998,112.63749999999989,0,5,0,9,3,3,school_area
G0278,-7.979499999999998,112.64199999999988,0,2,0,6,0,0,worship_area
G0279,-7.979499999999998,112.64649999999988,0,1,0,7,0,0,worship_area
G0280,-7.979499999999998,112.65099999999987,0,1,0,8,0,0,worship_area
G0281,-7.979499999999998,112.65549999999986,0,4,0,10,0,0,worship_area
G0282,-7.979499999999998,112.65999999999985,0,4,0,7,0,1,school_area
G0283,-7.979499999999998,112.66449999999985,1,2,1,3,0,1,campus_area
G0284,-7.979499999999998,112.66899999999984,1,2,0,4,0,1,campus_area
G0285,-7.979499999999998,112.67349999999983,0,1,0,1,0,0,school_area
G0286,-7.979499999999998,112.67799999999983,0,0,0,1,0,0,worship_area
G0287,-7.979499999999998,112.68249999999982,0,1,0,0,0,0,school_area
G0288,-7.979499999999998,112.68699999999981,0,3,0,1,0,0,school_area
G0295,-7.974999999999998,112.58799999999997,0,0,0,0,0,1,residential_area
G0296,-7.974999999999998,112.59249999999996,0,0,0,0,0,2,residential_area
G0297,-7.974999999999998,112.59699999999995,0,0,0,2,0,3,residential_area
G0298,-7.974999999999998,112.60149999999994,0,3,0,6,0,4,residential_area
G0299,-7.974999999999998,112.60599999999994,1,3,0,6,0,7,residential_area
G0300,-7.974999999999998,112.61049999999993,2,9,0,12,4,5,school_area
G0301,-7.974999999999998,112.61499999999992,1,11,0,12,5,0,school_area
G0302,-7.974999999999998,112.61949999999992,0,6,1,8,2,1,school_area
G0303,-7.974999999999998,112.62399999999991,2,10,1,16,1,0,school_area
G0304,-7.974999999999998,112.6284999999999,1,14,2,18,0,0,school_area
G0305,-7.974999999999998,112.6329999999999,1,13,2,12,3,0,school_area
G0306,-7.974999999999998,112.63749999999989,0,9,1,8,4,0,school_area
G0307,-7.974999999999998,112.64199999999988,0,1,0,4,2,0,public_area
G0308,-7.974999999999998,112.64649999999988,0,0,1,6,0,0,worship_area
G0309,-7.974999999999998,112.65099999999987,0,0,0,6,0,0,worship_area
G0310,-7.974999999999998,112.65549999999986,0,4,0,9,0,0,worship_area
G0311,-7.974999999999998,112.65999999999985,0,8,2,7,0,0,school_area
G0312,-7.974999999999998,112.66449999999985,0,5,2,5,0,0,school_area
G0313,-7.974999999999998,112.66899999999984,3,5,2,6,0,0,campus_area
G0314,-7.974999999999998,112.67349999999983,0,4,2,4,0,0,school_area
G0315,-7.974999999999998,112.67799999999983,0,1,0,1,0,0,school_area
G0326,-7.970499999999998,112.59699999999995,0,0,0,0,0,2,residential_area
G0327,-7.970499999999998,112.60149999999994,0,7,0,7,0,4,school_area
G0328,-7.970499999999998,112.60599999999994,4,10,0,12,1,4,campus_area
G0329,-7.970499999999998,112.61049999999993,5,10,0,11,3,1,campus_area
G0330,-7.970499999999998,112.61499999999992,3,8,0,10,3,1,school_area
G0331,-7.970499999999998,112.61949999999992,1,6,0,7,1,1,school_area
G0332,-7.970499999999998,112.62399999999991,0,2,0,9,5,0,public_area
G0333,-7.970499999999998,112.6284999999999,0,12,1,11,3,0,school_area
G0334,-7.970499999999998,112.6329999999999,0,21,1,4,0,0,school_area
G0335,-7.970499999999998,112.63749999999989,0,8,1,8,3,0,school_area
G0336,-7.970499999999998,112.64199999999988,0,1,0,9,2,0,worship_area
G0337,-7.970499999999998,112.64649999999988,0,1,1,7,1,0,worship_area
G0338,-7.970499999999998,112.65099999999987,0,1,0,5,1,2,residential_area
G0339,-7.970499999999998,112.65549999999986,0,1,0,9,0,1,worship_area
G0340,-7.970499999999998,112.65999999999985,0,4,1,9,0,0,worship_area
G0341,-7.970499999999998,112.66449999999985,0,1,0,2,0,0,school_area
G0342,-7.970499999999998,112.66899999999984,2,1,2,2,0,0,campus_area
G0343,-7.970499999999998,112.67349999999983,1,3,1,2,0,0,school_area
G0354,-7.9659999999999975,112.59249999999996,0,0,0,0,1,0,public_area
G0355,-7.9659999999999975,112.59699999999995,0,4,0,1,1,2,school_area
G0356,-7.9659999999999975,112.60149999999994,1,10,0,5,1,3,school_area
G0357,-7.9659999999999975,112.60599999999994,4,9,1,8,0,2,campus_area
G0358,-7.9659999999999975,112.61049999999993,4,4,0,7,0,0,campus_area
G0359,-7.9659999999999975,112.61499999999992,2,3,0,6,1,0,campus_area
G0360,-7.9659999999999975,112.61949999999992,2,2,0,5,2,0,campus_area
G0361,-7.9659999999999975,112.62399999999991,1,4,0,7,4,0,public_area
G0362,-7.9659999999999975,112.6284999999999,0,11,1,5,3,0,school_area
G0363,-7.9659999999999975,112.6329999999999,0,14,0,4,0,0,school_area
G0364,-7.9659999999999975,112.63749999999989,1,8,0,5,1,0,school_area
G0365,-7.9659999999999975,112.64199999999988,1,9,0,11,2,0,school_area
G0366,-7.9659999999999975,112.64649999999988,0,3,0,9,1,2,worship_area
G0367,-7.9659999999999975,112.65099999999987,0,2,0,5,2,9,residential_area
G0368,-7.9659999999999975,112.65549999999986,0,2,0,4,0,5,residential_area
G0369,-7.9659999999999975,112.65999999999985,0,0,0,3,0,0,worship_area
G0382,-7.961499999999997,112.58799999999997,0,0,0,0,0,1,residential_area
G0383,-7.961499999999997,112.59249999999996,0,0,0,0,0,1,residential_area
G0384,-7.961499999999997,112.59699999999995,0,6,0,3,1,0,school_area
G0385,-7.961499999999997,112.60149999999994,2,11,1,4,1,0,school_area
G0386,-7.961499999999997,112.60599999999994,3,7,1,5,0,2,campus_area
G0387,-7.961499999999997,112.61049999999993,1,2,0,7,0,1,worship_area
G0388,-7.961499999999997,112.61499999999992,3,2,1,3,1,0,campus_area
G0389,-7.961499999999997,112.61949999999992,1,7,1,2,2,0,school_area
G0390,-7.961499999999997,112.62399999999991,1,11,0,9,1,0,school_area
G0391,-7.961499999999997,112.6284999999999,0,10,1,8,0,0,school_area
G0392,-7.961499999999997,112.6329999999999,0,3,1,5,0,0,school_area
G0393,-7.961499999999997,112.63749999999989,3,14,0,10,0,0,school_area
G0394,-7.961499999999997,112.64199999999988,3,11,0,9,1,0,school_area
G0395,-7.961499999999997,112.64649999999988,0,2,0,4,2,2,residential_area
G0396,-7.961499999999997,112.65099999999987,0,2,0,3,2,6,residential_area
G0397,-7.961499999999997,112.65549999999986,0,2,0,3,0,6,residential_area
G0398,-7.961499999999997,112.65999999999985,0,1,0,0,0,3,residential_area
G0399,-7.961499999999997,112.66449999999985,0,0,0,0,0,1,residential_area
G0411,-7.956999999999997,112.58799999999997,0,0,0,0,0,2,residential_area
